Player,Skill Tier,time_played,games_won,win_percentage,weapon_accuracy_best_in_game,eliminations_per_life,kill_streak_best,eliminations_avg_per_10_min,deaths_avg_per_10_min,final_blows_avg_per_10_min,solo_kills_avg_per_10_min,objective_kills_avg_per_10_min,objective_time_avg_per_10_min,hero_damage_done_avg_per_10_min,healing_done_avg_per_10_min,scoped_accuracy_best_in_game,self_healing,self_healing_most_in_game,enemies_slept,nano_boost_assists,unscoped_accuracy_best_in_game,enemies_slept_most_in_game,nano_boost_assists_most_in_game,biotic_grenade_kills
Venus#12325,Master,2299,2,50,23,2.11,8,9.92,4.7,2.35,0.52,2.61,28,2781,9669,69,772,441,11,10,64,8,5,17
MonsterCxxx#2119,Grandmaster,21573,18,53,50,1.86,9,9.07,4.87,2.39,0.22,3.2,60,3327,8745,100,8155,612,198,94,75,10,6,162
Meowchiǃ#1219,Grandmaster,53866,56,70,100,2.16,13,12.06,5.58,3.03,0.31,4.24,49,4946,9790,98,27900,891,415,304,103,16,9,240
Gorilla#11477,Grandmaster,92272,76,59,47,1.87,15,9.32,4.97,2.52,0.2,2.57,37,3780,8801,100,36005,889,706,396,81,18,8,600
ONI#15215,Grandmaster,3461,3,57,34,2.83,7,11.79,4.16,2.25,0.17,2.25,20,4255,7594,68,1235,414,37,10,60,10,4,35
SLEEPWELL#21854,Grandmaster,84455,70,55,52,2.03,12,10.46,5.16,2.9,0.21,2.76,37,4706,9127,77,40644,1055,626,447,88,13,12,600
Yuqi#11397,Grandmaster,42887,37,59,48,1.72,9,10.45,6.07,2.53,0.15,4.02,49,3524,11305,100,23786,851,375,288,79,12,12,327
KDM#21147,Grandmaster,64796,50,54,48,1.72,15,9.33,5.42,2.82,0.25,2.23,28,3987,9943,100,31722,1538,653,261,93,18,10,459
Aspen#11893,Grandmaster,2716,1,18,60,0.78,2,5.52,7.07,1.1,0,1.99,73,4618,8952,89,1910,425,27,7,96,10,3,13
Xanthophobic#1743,Grandmaster,23939,22,59,43,1.95,12,10.18,5.21,2.46,0.23,2.53,27,3833,8731,79,10837,782,175,105,84,9,8,210
Zulex#11746,Grandmaster,1223,2,67,31,4.2,8,10.3,2.45,1.47,0,2.94,42,4517,8090,69,665,529,15,4,70,9,3,10
NightRaven#1135552,Grandmaster,65464,54,60,60,1.39,10,8.71,6.25,2.16,0.16,2.84,58,3342,8265,86,32312,744,573,300,110,13,9,475
sleepy#23325,Grandmaster,91125,61,47,53,1.44,11,8.23,5.73,1.96,0.13,2.15,39,3255,10187,100,48742,1208,810,454,100,23,13,606
Fantasy#21153,Grandmaster,3549,4,53,40,1.66,6,8.12,4.9,1.35,0,2.71,48,2868,10437,77,815,208,34,15,71,9,6,17
Louwee#21805,Grandmaster,2678,4,68,32,2.89,7,11.65,4.03,2.91,0,2.24,26,4030,7611,67,1542,743,27,11,63,7,3,29
Uta#21122,Grandmaster,5542,4,51,35,1.52,7,7.9,5.2,2.27,0.32,1.73,35,3030,9112,81,1824,342,34,24,82,5,7,37
Jon#16858,Grandmaster,4433,2,36,39,1.7,7,10.15,5.96,2.44,0,2.57,48,4583,8312,61,1638,370,32,17,86,7,8,20
Palad1n#11975,Grandmaster,48720,43,61,49,1.71,8,9.01,5.28,2.19,0.15,2.99,52,3554,9526,82,16987,769,288,279,81,13,11,274
ShyShannon#1808,Grandmaster,10410,11,69,40,1.38,8,7.38,5.36,1.56,0.06,2.36,60,3342,8976,78,5577,734,76,45,77,9,8,54
Poko#2323,Grandmaster,31900,26,55,54,1.58,9,9.39,5.92,2.05,0.09,2.76,58,3658,8736,88,15802,800,367,173,89,17,9,245
Sadppy#2721,Grandmaster,64334,45,53,40,1.59,14,7.4,4.66,1.72,0.2,2.02,48,3234,9669,100,23287,834,545,275,77,14,9,389
Mauve#11961,Grandmaster,15723,16,69,48,3.01,21,12.97,4.31,3.97,0.31,3.82,38,5509,8630,75,8230,649,148,81,71,12,10,148
Pandakip#1593,Grandmaster,5860,4,46,26,1.07,5,6.66,6.25,2.25,0,2.97,80,3040,9058,80,2440,651,55,21,66,15,6,29
Otos#11227,Grandmaster,5118,2,35,43,1.55,6,7.97,5.16,1.76,0,1.76,38,3565,9446,72,1970,401,37,10,70,9,3,28
HealingAndy#1413,Grandmaster,1163,1,50,42,1.36,9,9.8,7.22,2.06,0,2.58,25,3840,6926,74,267,140,4,10,58,1,6,10
Ivy#23376,Grandmaster,3854,2,49,29,1.22,6,7.78,6.38,2.49,0.31,1.87,51,3724,8011,80,1976,781,25,15,55,9,10,19
ŦhisAndŦhatǶ#1363,Grandmaster,710,1,100,19,1.6,4,6.76,4.22,1.69,0,3.38,36,2684,7870,72,211,149,8,1,64,7,1,3
viixian#1588,Grandmaster,85530,60,50,37,1.54,8,7.74,5.01,1.59,0.08,2.71,54,2849,8568,91,36271,791,566,386,80,11,10,508
ДэнГаубица#2481,Grandmaster,12967,13,61,39,2.03,10,11.38,5.6,2.45,0.37,3.1,45,4116,7975,71,5718,555,108,54,69,10,5,111
babydoll#11935,Grandmaster,145,0,0,25,0,0,0,12.44,0,0,0,3,2112,5719,50,90,90,1,0,49,1,0,0
Mookie#11235,Grandmaster,7955,8,65,35,1.76,14,9.28,5.28,2.19,0.23,2.87,44,3116,9422,79,3331,659,64,37,79,11,6,53
Huntin#11507,Grandmaster,1674,2,90,27,2.64,7,10.39,3.94,2.51,0,3.23,49,3865,9770,70,522,360,9,8,73,5,6,17
AOY#21963,Grandmaster,11925,11,64,34,1.8,10,9.71,5.38,2.47,0.15,2.72,47,3862,8133,83,6132,736,118,44,71,12,7,105
BirbHouse17#1246,Grandmaster,42491,31,54,37,1.46,9,9.31,6.37,2.15,0.1,3.67,64,3039,8322,100,20266,702,344,187,87,11,8,289
Phoenix#216393,Grandmaster,968,0,0,25,2,7,12.4,6.2,3.1,0,2.48,25,3822,7922,60,353,353,8,5,46,5,5,9
UltraViolet#11810,Grandmaster,5535,6,72,38,2.77,11,12.9,4.66,2.82,0,4.12,38,4090,9889,78,2374,376,43,31,82,9,8,47
Dande#21573,Grandmaster,17021,17,66,38,2.67,11,10.15,3.81,2.4,0.18,3.49,59,3271,10819,79,6383,582,143,109,82,13,12,119
PAK#21139,Grandmaster,4211,6,77,37,2.18,10,10.26,4.7,1.57,0.14,2.42,60,4389,8982,76,1868,448,38,25,77,9,5,34
Five#11696,Grandmaster,2104,2,45,41,1.67,6,8.56,5.13,2.0,0,1.71,15,3493,8452,76,1271,577,20,11,75,5,5,8
XPJmc#2762,Grandmaster,34593,26,52,44,1.74,12,9.59,5.52,2.27,0.12,2.29,43,4318,8876,100,16534,817,326,176,80,14,9,271
AnaDiff#2866,Grandmaster,26426,20,57,100,1.25,8,8.01,6.43,1.95,0.2,2.61,52,3342,8900,100,10976,663,242,118,100,15,12,180
Nelse#1258,Grandmaster,5128,3,45,43,1.53,9,8.77,5.73,1.87,0.12,2.81,28,3866,9979,100,3092,546,40,17,83,11,4,30
